text,label
/* Spacing workaround */,DESIGN
// not needed,IMPLEMENTATION
// TODO (@author fdietz):: implement action for font size combo box!,IMPLEMENTATION
// TODO: Rather than specifically ignore some item  // maybe it would be better to specifically state  // what items are of interest. Otherwise we may still // be acting on other events we don't need,DESIGN
"// Discovered that the loginame field can be null - in that case, how to know we have the correct view?",DESIGN
// Hack... need a more direct way of obtaining a view? // JEditTextArea.getView() method?,DESIGN
// TODO there is a problem with the constructor for the RBC. // you have to provide the rules in the constructors - no setters // available.,DESIGN
// not yet handled,IMPLEMENTATION
// TODO - could this be return?,DESIGN
"//no need to take a snapshot - this is a  //performance optimization, but not really //important, except for entities with huge  //mutable property values",DEFECT
// TODO: {name} is not expanded for diagram objects,DEFECT
"/**
     * Returns all substates some composite state contains.
     * <p>
     * TODO: {@link #getAllPossibleSubvertices(Object)} and
     * {@link #getAllSubStates(Object)} are duplicates as implemented for MDR.
     * It isn't clear from the Javadoc or usage whether they should do different
     * things or this just happened because no one noticed we already had
     * another method.
     * 
     * @param compState
     *                the given compositestate
     * @return all substates
     */",DOCUMENTATION
// If we outgrow our pushback stack then grow it (this should only happen in pretty  // pathological cases).,DEFECT
// FIXME: Obvious issue that not all platforms can display all attributes.  Ugly hacks. // Using generic posix library makes pushing inspect behavior into specific system impls // rather painful.,DESIGN
// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one,DESIGN
//TODO Let the AttachmentViewer get the focus so that this works,DESIGN
// TODO: Ruby locks the string here,DEFECT
"// TODO this bit of code needs to be tidied up // Unfortunately ModuleController is in components, not core // Bug 47165",DESIGN
// Sets can be just a view of a part of another collection. // do we need to copy it to be sure it won't be changing // underneath us? // ie. this.set.addAll(set);,DESIGN
// TODO: This should be built by reflection from the metamodel - tfm //       Update for UML 1.4 metamodel if not replaced by reflection,DESIGN
// we have to find a cleaner way to put this output,DESIGN
// TODO: implement,IMPLEMENTATION
// TODO: not used - make private?,DESIGN
"// not intended to be called directly by users (private) // OLD TODO from Ruby code: // This should be implemented in JavaClass.java, where we can // check for reserved Ruby names, conflicting methods, etc.",DESIGN
//TODO: currently broken for unique-key references (does not detect //      change to unique key property of the associated object) //the owner of the association is not the owner of the id,DEFECT
"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",DEFECT
// TODO: I18N,IMPLEMENTATION
// not needed,IMPLEMENTATION
// FIXME: Throw the right ArgumentError's if the class is missing // or if it's a module.,DEFECT
// TODO: Do we want to use the Project here instead of just its name?,IMPLEMENTATION
"// TODO: get SQL rendering out of here, create an AST for the join expressions. // Use the SQL generator grammar to generate the SQL text for the index expression.",DESIGN
"/**
 * TestCases for {@link XSLTProcess} task.
 * XXX merge with {@link XsltTest}?
 * @version 2003-08-05
 */",TEST
// Should clean this up to a single return statement,DESIGN
"/*
            * Fails on DB2 8.1 for Linux 
            * However, Windows 8.1 fixpak 14 driver (2.10.52) works without 
            * exception
            * Also, Linux 9.0.1 server with 3.1.57 driver works fine as well
            */",DEFECT
// TODO: Ruby re-checks that the buffer string hasn't been modified,IMPLEMENTATION
// TODO: for now we are ignoring the height constraint,DESIGN
"/*
			 * TODO: hookup with Interbase spec and adjust these as necessary. 
			 */",IMPLEMENTATION
"/**
     * For modules, it would be usefule to be able to remove their factories.<p>
     * 
     * TODO: The effect of this method is not yet tested!
     * 
     * @param factory the factory to remove
     */",TEST
// TODO: i18n,IMPLEMENTATION
// This refactoring depends on the following dialect API methods: // getUpdateSQL,DESIGN
// sorry - otherwise we will get a ClassCastException because the MockCache // is loaded by two different classloader ...,DESIGN
// not used,DESIGN
// TODO should equals and hashCode depend on field other than count?,DESIGN
// method has more than 500 lines; we'll need to split it // and therefore need to use a heap-based scope,DESIGN
// TODO: i18n,IMPLEMENTATION
// SSS FIXME: To be done,IMPLEMENTATION
"// Load .xmi file before any PGML files // FIXME: the following is loading the model before anything else. // Due to the Zargo containing the profiles, currently we have // removed this hack in UmlFilePersister and I think it should be // removed from here also.",DESIGN
"/**
 * A critic to detect when a classifier has to many operations). <p>
 *
 * TODO: exclude getter and setter operations from count
 */",DEFECT
"/*
     * Called after the diagram font gets changed. <p>
     *
     * TODO: Do we need to do anything here?
     *
     * @see java.beans.PropertyChangeListener#propertyChange(java.beans.PropertyChangeEvent)
     */",IMPLEMENTATION
// needed?,DESIGN
// TODO implementationLocation??,IMPLEMENTATION
"// TODO: This won't work when the column has values with quotes in them. // Use PreparedStatements instead. Hmmm... instead of insert statements, could we not // just create a sequence and generate a select statement that: // a) uses the sequence for the pkid // b) selects distinct values // That would be a more efficient approach that would also eliminate this quoting problem",DESIGN
"// not sure whether this is clean, but this method is // declared not to throw exceptions.",DESIGN
"/**
     * Utility function to localize the given string with help text, and show it
     * in the status bar of the ArgoUML window. This function is used in favour
     * of the inline call to enable later improvements; e.g. it would be
     * possible to show a help-balloon.
     * <p>
     * TODO: Work this out. One matter to possibly improve: show multiple lines.
     *
     * @param s the given string to be localized and shown
     */",DEFECT
"// TODO: I considered validating the presence of the TS cache here, // but decided to defer unti getQueryCacheInstance() in case the  // cache is never actually used",DESIGN
// NOTUSED private String chosenFile;,DESIGN
"/*
         * TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight(),
         * since this should take top- and bottom margin of this print
         * object into account. But the height seems not to be set
         * correctly in computePositionAndSize() (*20030604, karlpeder*)
         */",DESIGN
/* XXX magic number */,DESIGN
// This should be per instance,DESIGN
// TODO: Make into an assert once I get things like blockbodynodes to be implicit nil,TEST
"/*
     * URGENT: TODO - sort out equals and hashCode() - at present equal
     * instances can/will have different hashcodes - problem is, when a proper
     * hashcode is used, tests stop working, e.g. listener data disappears when
     * switching views... This presumably means that instances currently
     * regarded as equal, aren't really equal.
     *
     * @see java.lang.Object#hashCode()
     */",DEFECT
// Do we have 2 connection ends?,IMPLEMENTATION
"/**
 * This panel contains radio buttons that represent the Changeability
 * of an asssociation-end.
 *
 * @author jaap.branderhorst@xs4all.nl
 * @since Jan 4, 2003
 * 
 * TODO: For UML 2.x this needs to be changed to be just ReadOnly (frozen)
 * or not (changeable).
 */",IMPLEMENTATION
/* Testing: Does not fire. Conflict with CrNameConflict. */,TEST
// May be replaced later,DESIGN
"// BUG: if there are multiple selections in different // contexts, the wrong comment strings will be inserted.",DEFECT
// first determine the size of the chart rendering area... // TODO workout insets for SWT,DESIGN
// HAMMER // end inline mainGTU,DESIGN
"// TODO not read, yet in a public setter",DESIGN
// TODO: full-precision remainder is 1000x slower than MRI!,DEFECT
"// for visibility checking without requiring frame self // TODO: don't bother passing when fcall or vcall, and adjust callsite appropriately",DESIGN
//TODO: validate existing of property with the chosen name. (secondpass ),IMPLEMENTATION
"// hack to reduce the need to load every class in non-GUI mode, which only needs functions // TODO perhaps use BCEL to scan class files instead? // class name should contain this string // class name should not contain this string",DESIGN
// TODO can this ever happen?,DESIGN
// XXX what is the following doing? //     should it run if !javadoc4 && executable != null?,DESIGN
// TODO: missing additional logic for dealing with conflicting protected fields.,IMPLEMENTATION
"/**
     * Create an empty but initialized instance of a UML DataType.
     *
     * @return an initialized UML DataType instance.
     * TODO: This needs an extra parameter to specify the model/extent where
     * the new element should be created.
     */",DESIGN
// TODO: Is there anyway we can determine this size at runtime?,DESIGN
"// actual type does not exactly match method return type, re-get converter // FIXME: when the only autoconversions are primitives, this won't be needed",DESIGN
// TODO: don't require pop,DEFECT
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here. Confirm. JRUBY-415,DESIGN
// If we are not visible most likely // we're being deleted. // TODO: This indicates a more fundamental problem that // should be investigated - tfm - 20061230,DEFECT
// TODO: Is it removed from UML2 ?,IMPLEMENTATION
"/*
			Wrap nulls.
			This is a bit of a cludge to address a deficiency in the class
			generator whereby it does not wrap nulls on method delegate.  See
			Class Generator.java.  If we fix that then we can remove this.
			(just have to generate the code there.)
		*/",DESIGN
// TODO Add all top level packages,IMPLEMENTATION
// TODO: Make another pass to deal with overlaps?,IMPLEMENTATION
// TODO: We should assert this never happens before removing // panels should control their own listeners,IMPLEMENTATION
"// If it exists, remove it and add it at the end (avoid memory leak)",DEFECT
// FIXME:  implement this...,IMPLEMENTATION
/*TODO create javadocs for class */,DOCUMENTATION
// TODO @author hubms show if there is already a virtual folder for // this tag,IMPLEMENTATION
// This info is merely a placeholder in the tree that we can use to get index name and // parent name more easily. We probably should create a IndexColumnInfo that has this // extra info in it.,DESIGN
/* The next line does not work: */,DEFECT
"// todo: we should really just collect these from the various SelectExpressions, rather than regenerating here",DESIGN
"/**
 * FIXME:
 * 
 * @author fdietz: No locking of folders currently implemented!
 * 
 * @author frd
 */",DEFECT
// TODO need to implement or change the message,IMPLEMENTATION
// TODO: how to merge multiple inheritance? Necessary? // This currently copies the common ancestors multiple times,DESIGN
"/* 
		This is the namespace in which the method is set.
		It is a back-reference for the node, which needs to execute under this 
		namespace.  It is not necessary to declare this transient, because 
		we can only be saved as part of our namespace anyway... (currently).
	*/",DESIGN
// TODO: don't require pop,DEFECT
// TODO: Mark diagram/project as dirty?,IMPLEMENTATION
"// TODO: We overflow on large files...We could increase to long to limit // this, but then the impl gets more involved since java io APIs based on // int (means we have to chunk up a long into a series of int ops).",DEFECT
// TODO: Find a way to replace this dependency on Project,DESIGN
