text,label
"// if ""expression"" implements one of the combobox, select it // TODO ? Do it in eUML module project ?",DESIGN
/* trim done to workaround stupid oracle bug that cant handle whitespaces before a { in a sp */,DESIGN
// Should we run a beanshell script on startup? // $NON-NLS-1$,DESIGN
"// TODO: iteratively get transient entities and retry merge until one of the following conditions: //       1) transientCopyCache.size() == 0 //       2) transientCopyCache.size() is not decreasing and copyCache.size() is not increasing // TODO: find out if retrying can add entities to copyCache (don't think it can...) // For now, just retry once; throw TransientObjectException if there are still any transient entities",DESIGN
// critique menu // TODO: This dependency should be inverted with the Critics subsystem // registering its desired shortcuts with us - tfm,DESIGN
// TODO: ProjectBrowser doesn't need to mediate this conversation // Use an event listener in the ToDoPane to communicate instead. - tfm,DESIGN
"// bug #997560 (fdietz): CC: should be in Cc:, instead of To: //toList.addAll(Arrays.asList(rfcHeader.getCc()));",DEFECT
// TODO: Unused?,DESIGN
"// vulture thread will periodically expunge dead // entries.  entries are also expunged during 'put' // operations; this is designed to cover the case where // many objects are created initially, followed by limited // put activity. // // FIXME: DISABLED (below) pending resolution of finalization issue //",DEFECT
"/*
             * two reasons are mentioned in the API docs for File.list
             * (1) dir is not a directory. This is impossible as
             *     we wouldn't get here in this case.
             * (2) an IO error occurred (why doesn't it throw an exception
             *     then???)
             */",DESIGN
"/**
     * Copy a file from source to destination.
     *
     * TODO: Perhaps belongs in a utilities class of some sort.
     *
     * @param source the source file to be copied
     * @param dest the destination file
     * @return success status flag
     */",DESIGN
// TODO: Delete should be available on any combination of model // elements and diagrams. // TODO: Shouldn't be creating a new instance here. We should // hold the delete action in some central place.,DESIGN
// Surely this is always null in the constructor?,DESIGN
"/**
     * True if an instance is allowed to be
     * invisible. This is currently only set true by FigEdgePort.
     * TODO: FigEdgePort should be removed from the FigNodeModelElement
     * hierarchy and so the need for this removed.
     */",DESIGN
// JASON: Should be part of status bar?,DESIGN
// TODO: cache?,DESIGN
// TODO: This is ambiguous as to whether it should be adding a container // or resident.,DESIGN
// TODO: set our metaclass to target's class (i.e. scary!),DESIGN
// TODO: Is this really needed?,DESIGN
//TODO: code duplication with JoinedSubclassEntityPersister,DESIGN
"// Discovered that the loginame field can be null - in that case, how to know we have the correct view?",DESIGN
// TODO: to be implemented,DESIGN
//this is kinda the best we can do...,DESIGN
// hack to ensure the newly created awt fonts will be rendered with the // same height as the swt one,DESIGN
// TODO: this doesn't look right - review - tfm,DESIGN
// TODO: check for ascii string,IMPLEMENTATION
// TODO: Performance. Consider instantiating this just // once outside the for loops and clear at this point // instead.,DESIGN
// TODO: The following is MDR specific.  We need something generic // to all Model subsystems - tfm 20070716,DESIGN
// TODO implement iterate() // TODO implement sortedBy() // TODO implement subSequence(),IMPLEMENTATION
"// FIXME: vulture daemon thread prevents finalization, // find alternative approach. // vulture.start();",DEFECT
//TODO: What can we do with other kind of actions?,IMPLEMENTATION
"// This is (a logically not sufficent) try to cope with the problem that there are the following // contradictory rules in the JDBC API Doc: // Statement.getResultSet(): // This method should be called only once per result. // Statement.getUpdateCount(): // This method should be called only once per result. // Statement.getMoreResults(): // There are no more results when the following is true: (!getMoreResults() && (getUpdateCount() == -1) // // If getMoreResults() returns false, we don't know if we have more results, we only know that it isn't // a result set. Since we called getUpdateCount() before getMoreResults() because we would like to know // the update count of the first result, we might not be allowed to call getUpdateCount() again. // // The Intersystems Cache Driver for example always returns the same updateCount on simple // INSERT, UPDATE, DELETE statements not matter if getMoreResults() was called. So updateCount never // gets -1 and this will loop forever. When I discussed the issue with the Intersystems people they // just told me not to call getUpdateCount() twice. That simple. My hope is that this will cure // problems with DBs that just don't care for multiple result sets.",DESIGN
// TODO: implement properly,DESIGN
"// Apparently, this method is never called.",IMPLEMENTATION
/* TODO: Why was this next line in the code so long? */,DESIGN
// TODO: implement this properly,DESIGN
// TODO: Check this result...,DEFECT
// TODO: - please add some javadoc - ugly classname also,DOCUMENTATION
// this convention may change...,IMPLEMENTATION
// A model element has been removed from this packages namespace // If the Fig representing that model element is on the same // diagram as this package then make sure it is not enclosed by // this package. // TODO: In my view the Fig representing the model element should be // removed from the diagram. Yet to be agreed. Bob.,DESIGN
// TODO: implement,IMPLEMENTATION
// FIXME: set up a call configuration for this,DESIGN
"/**
 * Abstract class that is the parent of all actions adding diagrams to ArgoUML.
 * The children of this class should implement createDiagram to do any specific
 * actions for creating a diagram and isValidNamespace that checks if some
 * namespace is valid to add the diagram to. <p>
 *
 * ArgoUML shall never create a diagram for a read-only modelelement.<p>
 *
 * TODO: This class should be merged with ActionNewDiagram.
 *
 * @author jaap.branderhorst@xs4all.nl
 */",DESIGN
// FIXME:  need a locale as well as a timezone,DESIGN
"// looks bad with the OS X L&F, apparently...",DEFECT
